jobSubClassification,Jobs,Year
Other,1,2019
Database Development & Administration,1,2019
Database Development & Administration,1,2019
Database Development & Administration,1,2019
Consultants,1,2019
Database Development & Administration,1,2019
Other,1,2019
Database Development & Administration,1,2019
Business/Systems Analysts,1,2019
Engineering - Software,1,2019
Business/Systems Analysts,1,2019
Database Development & Administration,1,2019
Other,1,2019
Consultants,1,2019
Database Development & Administration,1,2019
Database Development & Administration,1,2019
Consultants,1,2019
Developers/Programmers,1,2019
Other,1,2019
Consultants,1,2019
Consultants,1,2019
Developers/Programmers,1,2019
Other,1,2019
Developers/Programmers,1,2019
Other,1,2019
Engineering - Software,1,2019
Other,1,2019
Web Development & Production,1,2019
Database Development & Administration,1,2019
Telecommunications,1,2019
Developers/Programmers,1,2019
Developers/Programmers,1,2019
Developers/Programmers,1,2019
Engineering - Software,1,2019
Other,1,2019
Consultants,1,2019
Other,1,2019
Developers/Programmers,1,2019
Business/Systems Analysts,1,2019
Engineering - Software,1,2019
Web Development & Production,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Developers/Programmers,1,2019
Other,1,2019
Other,1,2019
Business/Systems Analysts,1,2019
Business/Systems Analysts,1,2019
Business/Systems Analysts,1,2019
Other,1,2019
Developers/Programmers,1,2019
Architects,1,2019
Other,1,2019
Developers/Programmers,1,2019
Developers/Programmers,1,2019
Database Development & Administration,1,2019
Database Development & Administration,1,2019
Management,1,2019
Consultants,1,2019
Engineering - Software,1,2019
Consultants,1,2019
Developers/Programmers,1,2019
Engineering - Software,1,2019
Developers/Programmers,1,2019
Engineering - Software,1,2019
Developers/Programmers,1,2019
Other,1,2019
Database Development & Administration,1,2019
Database Development & Administration,1,2019
Database Development & Administration,1,2019
Developers/Programmers,1,2019
Other,1,2019
Database Development & Administration,1,2019
Engineering - Software,1,2019
Database Development & Administration,1,2019
Business/Systems Analysts,1,2019
Developers/Programmers,1,2019
Consultants,1,2019
Other,1,2019
Database Development & Administration,1,2019
Consultants,1,2019
Other,1,2019
Other,1,2019
Database Development & Administration,1,2019
Database Development & Administration,1,2019
Consultants,1,2019
Consultants,1,2019
Database Development & Administration,1,2019
Business/Systems Analysts,1,2019
Business/Systems Analysts,1,2019
Consultants,1,2019
Other,1,2019
Database Development & Administration,1,2019
Other,1,2019
Web Development & Production,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Database Development & Administration,1,2019
Consultants,1,2019
Engineering - Software,1,2019
Database Development & Administration,1,2019
Developers/Programmers,1,2019
Business/Systems Analysts,1,2019
Developers/Programmers,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Consultants,1,2019
Web Development & Production,1,2019
Other,1,2019
Database Development & Administration,1,2019
Other,1,2019
Consultants,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Database Development & Administration,1,2019
Consultants,1,2019
Other,1,2019
Consultants,1,2019
Other,1,2019
Developers/Programmers,1,2019
Consultants,1,2019
Engineering - Software,1,2019
Developers/Programmers,1,2019
Business/Systems Analysts,1,2019
Business/Systems Analysts,1,2019
Programme & Project Management,1,2019
Developers/Programmers,1,2019
Other,1,2019
Database Development & Administration,1,2019
Other,1,2019
Consultants,1,2019
Database Development & Administration,1,2019
Business/Systems Analysts,1,2019
Business/Systems Analysts,1,2019
Other,1,2019
Other,1,2019
Developers/Programmers,1,2019
Other,1,2019
Business/Systems Analysts,1,2019
Other,1,2019
Consultants,1,2019
Developers/Programmers,1,2019
Business/Systems Analysts,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Business/Systems Analysts,1,2019
Developers/Programmers,1,2019
Developers/Programmers,1,2019
Business/Systems Analysts,1,2019
Database Development & Administration,1,2019
Consultants,1,2019
Database Development & Administration,1,2019
Business/Systems Analysts,1,2019
Other,1,2019
Database Development & Administration,1,2019
Other,1,2019
Database Development & Administration,1,2019
Consultants,1,2019
Consultants,1,2019
Consultants,1,2019
Engineering - Software,1,2019
Consultants,1,2019
Engineering - Software,1,2019
Database Development & Administration,1,2019
Consultants,1,2019
Business/Systems Analysts,1,2019
Developers/Programmers,1,2019
Business/Systems Analysts,1,2019
Web Development & Production,1,2019
Other,1,2019
Consultants,1,2019
Other,1,2019
Other,1,2019
Database Development & Administration,1,2019
Consultants,1,2019
Consultants,1,2019
Engineering - Software,1,2019
Business/Systems Analysts,1,2019
Database Development & Administration,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Business/Systems Analysts,1,2019
Database Development & Administration,1,2019
Engineering - Software,1,2019
Business/Systems Analysts,1,2019
Other,1,2019
Business/Systems Analysts,1,2019
Business/Systems Analysts,1,2019
Business/Systems Analysts,1,2019
Business/Systems Analysts,1,2019
Consultants,1,2019
Other,1,2019
Other,1,2019
Business/Systems Analysts,1,2019
Consultants,1,2019
Database Development & Administration,1,2019
Business/Systems Analysts,1,2019
Consultants,1,2019
Management,1,2019
Database Development & Administration,1,2019
Developers/Programmers,1,2019
Developers/Programmers,1,2019
Architects,1,2019
Other,1,2019
Database Development & Administration,1,2019
Other,1,2019
Engineering - Network,1,2019
Engineering - Network,1,2019
Database Development & Administration,1,2019
Engineering - Software,1,2019
Developers/Programmers,1,2019
Developers/Programmers,1,2019
Developers/Programmers,1,2019
Database Development & Administration,1,2019
Product Management & Development,1,2019
Consultants,1,2019
Other,1,2019
Consultants,1,2019
Developers/Programmers,1,2019
Other,1,2019
Engineering - Software,1,2019
Database Development & Administration,1,2019
Engineering - Software,1,2019
Engineering - Software,1,2019
Developers/Programmers,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Database Development & Administration,1,2019
Database Development & Administration,1,2019
Developers/Programmers,1,2019
Developers/Programmers,1,2019
Database Development & Administration,1,2019
Database Development & Administration,1,2019
Developers/Programmers,1,2019
Other,1,2019
Developers/Programmers,1,2019
Consultants,1,2019
Other,1,2019
Consultants,1,2019
Developers/Programmers,1,2019
Other,1,2019
Other,1,2019
Engineering - Software,1,2019
Consultants,1,2019
Database Development & Administration,1,2019
Developers/Programmers,1,2019
Other,1,2019
Developers/Programmers,1,2019
Business/Systems Analysts,1,2019
Consultants,1,2019
Engineering - Software,1,2019
Other,1,2019
Developers/Programmers,1,2019
Business/Systems Analysts,1,2019
Engineering - Software,1,2019
Business/Systems Analysts,1,2019
Consultants,1,2019
Consultants,1,2019
Consultants,1,2019
Developers/Programmers,1,2019
Consultants,1,2019
Database Development & Administration,1,2019
Developers/Programmers,1,2019
Other,1,2019
Other,1,2019
Consultants,1,2019
Database Development & Administration,1,2019
Other,1,2019
Developers/Programmers,1,2019
Database Development & Administration,1,2019
Consultants,1,2019
Database Development & Administration,1,2019
Consultants,1,2019
Other,1,2019
Developers/Programmers,1,2019
Consultants,1,2019
Database Development & Administration,1,2019
Engineering - Software,1,2019
Engineering - Software,1,2019
Database Development & Administration,1,2019
Developers/Programmers,1,2019
Other,1,2019
Other,1,2019
Database Development & Administration,1,2019
Business/Systems Analysts,1,2019
Other,1,2019
Architects,1,2019
Engineering - Software,1,2019
Consultants,1,2019
Developers/Programmers,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Business/Systems Analysts,1,2019
Database Development & Administration,1,2019
Other,1,2019
Architects,1,2019
Engineering - Software,1,2019
Other,1,2019
Developers/Programmers,1,2019
Other,1,2019
Other,1,2019
Engineering - Software,1,2019
Database Development & Administration,1,2019
Database Development & Administration,1,2019
Database Development & Administration,1,2019
Other,1,2019
Other,1,2019
Engineering - Software,1,2019
Database Development & Administration,1,2019
Other,1,2019
Database Development & Administration,1,2019
Database Development & Administration,1,2019
Business/Systems Analysts,1,2019
Other,1,2019
Developers/Programmers,1,2019
Other,1,2019
Database Development & Administration,1,2019
Other,1,2019
Database Development & Administration,1,2019
Other,1,2019
Developers/Programmers,1,2019
Developers/Programmers,1,2019
Developers/Programmers,1,2019
Other,1,2019
Architects,1,2019
Engineering - Software,1,2019
Database Development & Administration,1,2019
Other,1,2019
Developers/Programmers,1,2019
Developers/Programmers,1,2019
Consultants,1,2019
Business/Systems Analysts,1,2019
Database Development & Administration,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Consultants,1,2019
Database Development & Administration,1,2019
Database Development & Administration,1,2019
Database Development & Administration,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Engineering - Software,1,2019
Developers/Programmers,1,2019
Other,1,2019
Other,1,2019
Other,1,2019
Business/Systems Analysts,1,2019
Consultants,1,2019
Other,1,2019
Other,1,2019
Consultants,1,2019
Other,1,2019
Developers/Programmers,1,2019
Other,1,2019
Other,1,2019
Consultants,1,2019
Business/Systems Analysts,1,2019
Other,1,2019
Consultants,1,2019
Consultants,1,2019
Engineering - Software,1,2019
Database Development & Administration,1,2019
Engineering - Software,1,2019
Consultants,1,2019
Consultants,1,2019
Developers/Programmers,1,2019
Consultants,1,2019
Other,1,2019
Database Development & Administration,1,2019
Other,1,2019
Engineering - Software,1,2019
Other,1,2019
Developers/Programmers,1,2019
Engineering - Software,1,2019
