Year,state,Jobs
2019,Australian Capital Territory,88
2019,New South Wales,614
2019,Northern Territory,1
2019,Queensland,110
2019,South Australia,50
2019,Tasmania,3
2019,Victoria,355
2019,Western Australia,91
2020,Australian Capital Territory,97
2020,New South Wales,332
2020,Northern Territory,0
2020,Queensland,66
2020,South Australia,27
2020,Tasmania,3
2020,Victoria,227
2020,Western Australia,52
2021,Australian Capital Territory,58
2021,Northern Territory,0
2021,New South Wales,293
2021,Queensland,77
2021,South Australia,25
2021,Tasmania,2
2021,Victoria,221
2021,Western Australia,61
