listingYear,suburb,Jobs
2019,ALBERT PARK,1
2019,BENDIGO,1
2019,BENTLEIGH EAST,2
2019,BOX HILL,5
2019,BUNDOORA,2
2019,BURWOOD EAST,2
2019,CAMBERWELL,1
2019,CHADSTONE,1
2019,CLAYTON,2
2019,COLLINGWOOD,1
2019,CREMORNE,1
2019,DOCKLANDS,5
2019,DONCASTER,6
2019,FITZROY,1
2019,GEELONG,4
2019,HAWTHORN EAST,3
2019,MELBOURNE,217
2019,MOONEE PONDS,10
2019,MULGRAVE,1
2019,NOTTING HILL,1
2019,PARKVILLE,2
2019,PORT MELBOURNE,3
2019,RICHMOND,1
2019,TULLAMARINE,1
2019,WILLIAMS LANDING,2
2020,ALPHINGTON,1
2020,BAYSWATER,1
2020,BENTLEIGH EAST,1
2020,BOX HILL,1
2020,BURWOOD EAST,1
2020,CAMBERWELL,1
2020,CARLTON,1
2020,CARNEGIE,1
2020,CHELTENHAM,2
2020,DOCKLANDS,2
2020,DONCASTEREAST,1
2020,EAST MELBOURNE,3
2020,ESSENDON FIELDS,1
2020,FITZROY,1
2020,FOOTSCRAY,1
2020,GREYTHORN,2
2020,HAWTHORNEAST,1
2020,MELBOURNE,136
2020,MITCHAM,4
2020,MULGRAVE,3
2020,PARKVILLE,1
2020,PORT MELBOURNE,1
2020,RICHMOND,3
2020,TULLAMARINE,3
2021,ALPHINGTON,2
2021,BALLARAT,2
2021,BENDIGO,2
2021,BROADMEADOWS,2
2021,BUNDOORA,2
2021,CAMBERWELL,2
2021,CLAYTON,1
2021,COLLINGWOOD,2
2021,CREMORNE,1
2021,DANDENONG,2
2021,DOCKLANDS,3
2021,DONCASTER,1
2021,FOOTSCRAY,1
2021,GEELONG,6
2021,MELBOURNE,147
2021,PARKVILLE,1
2021,PORT MELBOURNE,1
2021,RICHMOND,4
2021,SOUTHBANK,2
2021,ST KILDA,2
