jobTitle,jobClassification,jobSubClassification,advertiserName,companyName,nation,state,city,area,suburb,workType
Data Scientist with Top Fund Manager,Science & Technology,"Mathematics, Statistics & Information Sciences",Coolabah Capital Investments Pty Ltd,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Other,sportsbet.com.au,Sportsbet,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Other,Continuum Recruitment,,Australia,New South Wales,Sydney,North Shore & Northern Beaches,,Full Time
Data Scientist,Information & Communication Technology,Other,MTP Services,,Australia,Australian Capital Territory,ACT,,,Contract/Temp
Data Scientist,Information & Communication Technology,Consultants,Greythorn Experis,,Australia,New South Wales,Sydney,,,Full Time
Senior Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",iSelect Ltd,iSelect,Australia,Victoria,Melbourne,Bayside & South Eastern Suburbs,cheltenham,Full Time
Bioinformatician in Computational Functional Genomics,Science & Technology,Biological & Biomedical Sciences,Children's Medical Research Institute,Children's Medical Research Institute,Australia,New South Wales,Sydney,Parramatta & Western Suburbs,westmead,Full Time
Quant / Data Scientist | Algorithmic Trading Company | Up to $200K Package,Information & Communication Technology,Business/Systems Analysts,Hyre.,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",QBE,QBE Insurance,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Database Development & Administration,Michael Page Information Technology,,Australia,Western Australia,Perth,,perth,Contract/Temp
Data Scientist  ,Information & Communication Technology,Engineering - Software,Capgemini Australia Pty Ltd,Capgemini,Australia,South Australia,Adelaide,,,Full Time
"Manager, Data Science - NLP & ML",Science & Technology,"Mathematics, Statistics & Information Sciences",T+O+M Executive,,Australia,New South Wales,Sydney,,,Full Time
DATA SCIENTIST,Information & Communication Technology,Consultants,CPT Global,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Contract/Temp
Data Scientist,Information & Communication Technology,Engineering - Software,Genesis IT&T P/L,,Australia,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Contract/Temp
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",CircuIT Recruitment Group,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Analyst,Banking & Financial Services,Analysis & Reporting,REST Industry Super,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Other,Northbridge Recruitment,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
"Data Scientist, Analytics, Machine Learning - Data Scientist, Data Statistician",Information & Communication Technology,Consultants,Infinity Pro,,Australia,New South Wales,Sydney,Parramatta & Western Suburbs,sydney,Full Time
Data Scientist,Banking & Financial Services,Analysis & Reporting,Bluefin Resources Pty Limited,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Engineering - Software,Beacham Group,,Australia,Western Australia,Perth,"CBD, Inner & Western Suburbs",perth,Full Time
Research Fellow - Systems Scientist/Data Scientist,Education & Training,Research & Fellowships,Institute for Economics & Peace,,Australia,New South Wales,Sydney,North Shore & Northern Beaches,stleonards,Full Time
"Senior Data Scientist, Machine Learning - Sydney",Information & Communication Technology,Engineering - Software,EY,EY,Australia,New South Wales,Sydney,,,Full Time
