Date,state
1/16/2019,New South Wales
2/4/2019,Australian Capital Territory
2/5/2019,New South Wales
2/5/2019,New South Wales
2/5/2019,New South Wales
2/5/2019,New South Wales
2/5/2019,New South Wales
2/5/2019,New South Wales
2/5/2019,Victoria
2/5/2019,New South Wales
2/6/2019,Australian Capital Territory
2/6/2019,Australian Capital Territory
2/6/2019,Australian Capital Territory
2/6/2019,Australian Capital Territory
2/6/2019,New South Wales
2/6/2019,Western Australia
2/6/2019,New South Wales
2/6/2019,New South Wales
2/25/2019,Victoria
2/7/2019,New South Wales
2/7/2019,Victoria
2/7/2019,New South Wales
2/8/2019,New South Wales
2/8/2019,Australian Capital Territory
2/8/2019,Queensland
2/8/2019,New South Wales
2/8/2019,New South Wales
2/8/2019,New South Wales
2/8/2019,New South Wales
2/11/2019,Victoria
2/11/2019,New South Wales
2/11/2019,New South Wales
2/11/2019,New South Wales
2/11/2019,New South Wales
2/11/2019,Australian Capital Territory
2/11/2019,Victoria
2/11/2019,New South Wales
2/12/2019,New South Wales
2/12/2019,New South Wales
2/12/2019,Australian Capital Territory
2/12/2019,New South Wales
2/12/2019,New South Wales
2/12/2019,New South Wales
2/12/2019,Victoria
2/12/2019,New South Wales
2/12/2019,Victoria
2/12/2019,Victoria
2/13/2019,New South Wales
2/13/2019,Victoria
2/13/2019,New South Wales
2/13/2019,Victoria
2/13/2019,Australian Capital Territory
2/13/2019,Australian Capital Territory
2/13/2019,Australian Capital Territory
2/13/2019,Australian Capital Territory
2/13/2019,Victoria
2/13/2019,Queensland
2/13/2019,Western Australia
2/14/2019,Victoria
2/14/2019,New South Wales
2/14/2019,New South Wales
2/14/2019,New South Wales
2/14/2019,New South Wales
2/15/2019,New South Wales
2/15/2019,New South Wales
2/15/2019,New South Wales
2/15/2019,New South Wales
2/15/2019,New South Wales
2/16/2019,Western Australia
2/16/2019,New South Wales
2/16/2019,New South Wales
2/18/2019,Victoria
2/18/2019,New South Wales
2/18/2019,New South Wales
2/18/2019,Victoria
2/18/2019,New South Wales
2/18/2019,Victoria
2/19/2019,New South Wales
2/19/2019,New South Wales
2/19/2019,New South Wales
2/19/2019,New South Wales
2/21/2019,New South Wales
2/20/2019,New South Wales
2/20/2019,Western Australia
2/20/2019,New South Wales
2/20/2019,Western Australia
2/21/2019,Australian Capital Territory
2/21/2019,Victoria
2/21/2019,Victoria
2/22/2019,New South Wales
2/22/2019,New South Wales
2/22/2019,Northern Territories
2/24/2019,Victoria
2/25/2019,New South Wales
2/25/2019,Victoria
2/26/2019,New South Wales
2/26/2019,New South Wales
2/26/2019,New South Wales
2/27/2019,Victoria
2/27/2019,Victoria
2/27/2019,Victoria
2/27/2019,New South Wales
2/27/2019,New South Wales
2/27/2019,Victoria
2/27/2019,New South Wales
2/28/2019,New South Wales
2/27/2019,New South Wales
2/28/2019,New South Wales
2/28/2019,South Australia
2/28/2019,Victoria
2/28/2019,New South Wales
2/28/2019,Victoria
2/28/2019,Victoria
2/28/2019,New South Wales
2/28/2019,Queensland
2/28/2019,New South Wales
3/1/2019,Victoria
3/1/2019,Queensland
3/1/2019,New South Wales
3/1/2019,Victoria
3/1/2019,Victoria
3/1/2019,Queensland
3/1/2019,New South Wales
3/1/2019,New South Wales
3/4/2019,Victoria
3/4/2019,New South Wales
3/4/2019,Victoria
3/4/2019,New South Wales
3/4/2019,Queensland
3/4/2019,New South Wales
3/4/2019,New South Wales
